Product_ID,Product_Name,Category,Sub_Category,Supplier,Manufacturing_Cost,Retail_Price
PRD-10001,Wall Light 381,Home Decor,Lighting,DecorNova,7678.44,12153.05
PRD-10002,Decor Sculpture 132,Home Decor,Decorative Items,DecorNova,14720.28,38672.46
PRD-10003,PowerLite 559,Electronics,Laptops,,16701.4,17875.16
PRD-10004,Corner Sofa 259,Furniture,Sofas,WoodCraft India,4788.01,6575.06
PRD-10005,XPhone 467,Electronics,Mobile Phones,ByteKart Technologies,50083.63,57197.98
PRD-10006,Canvas Art 487,Home Decor,Wall Art,CraftEdge Home,705.51,2018.5
PRD-10007,Dress 146,Fashion,Women Clothing,TrendHive India,4195.72,5976.04
PRD-10008,ThinkEdge 384,Electronics,Laptops,TechCore India,18636.87,20013.06
PRD-10009,Top 818,Fashion,Women Clothing,TrendHive India,1660.36,2546.44
PRD-10010,File Organizer 267,Office Supplies,Storage Items,OfficePro India,4376.26,5287.6
PRD-10011,Vase 801,Home Decor,Decorative Items,CraftEdge Home,12353.5,16045.01
PRD-10012,Keyboard 167,Electronics,Accessories,ByteKart Technologies,26910.85,29538.08
PRD-10013,Saree 505,Fashion,Women Clothing,TrendHive India,2389.14,3881.9
PRD-10014,Wardrobe 862,Furniture,Storage,Elite Furnishings,11584.34,15092.62
PRD-10015,Inkjet Printer 470,Office Supplies,Printers,Corporate Essentials,5964.9,6915.05
PRD-10016,Laser Printer 981,Office Supplies,Printers,OfficePro India,6114.69,7240.43
PRD-10017,Canvas Art 494,Home Decor,Wall Art,CraftEdge Home,1581.52,2502.14
PRD-10018,Marker Kit 217,Office Supplies,Stationery,Corporate Essentials,9659.76,12670.51
PRD-10019,Running Shoes 545,Fashion,Footwear,,1662.15,2300.72
PRD-10020,Vase 619,Home Decor,Decorative Items,Aura Living,13779.39,19347.0
PRD-10021,Vase 256,Home Decor,Decorative Items,CraftEdge Home,2704.15,3848.85
PRD-10022,Pen Set 600,Office Supplies,Stationery,Corporate Essentials,440.45,418.43
PRD-10023,Kurti 999,Fashion,Women Clothing,UrbanStyle Wholesale,1442.14,2281.3
PRD-10024,Canvas Art 231,Home Decor,Wall Art,DecorNova,6440.71,9223.25
PRD-10025,File Organizer 652,Office Supplies,Storage Items,Stationery Hub,5512.43,6543.09
PRD-10026,Abstract Painting 548,Home Decor,Wall Art,Aura Living,19400.82,29514.4
PRD-10027,Gaming Mouse 702,Electronics,Accessories,TechCore India,75462.42,88013.9
PRD-10028,Office Chair 172,Furniture,Chairs,Elite Furnishings,30699.2,42499.2
PRD-10029,Snacks Pack 840,Grocery,Packaged Food,PrimeGrocers Ltd,195.22,204.52
PRD-10030,Organic Mix 294,Grocery,Packaged Food,DailyNeeds Supply,109.55,116.04
PRD-10031,Charger 984,Fashion,Accessories,FashionNest Apparel,2065.65,2984.81
PRD-10032,Pendant Light 845,Home Decor,Lighting,DecorNova,16626.13,22858.66
PRD-10033,Corner Sofa 287,Furniture,Sofas,Elite Furnishings,15484.86,20262.55
PRD-10034,Smart Watch 767,Electronics,Smart Devices,TechCore India,15569.32,17971.44
PRD-10035,Study Table 592,Furniture,Tables,WoodCraft India,5578.43,7795.17
PRD-10036,UltraBook 499,Electronics,Laptops,ByteKart Technologies,62918.36,67689.65
PRD-10037,Tissue Pack 777,Grocery,Household Essentials,PrimeGrocers Ltd,30.93,34.13
PRD-10038,Dress 865,Fashion,Women Clothing,UrbanStyle Wholesale,3592.92,5767.18
PRD-10039,Detergent 158,Grocery,Household Essentials,PrimeGrocers Ltd,1547.12,1603.84
PRD-10040,Executive Chair 791,Furniture,Chairs,UrbanSpace Furniture,19206.35,23492.7
PRD-10041,Marker Kit 140,Office Supplies,Stationery,Corporate Essentials,8644.72,11019.08
PRD-10042,Storage Box 367,Office Supplies,Storage Items,Corporate Essentials,3375.89,3925.19
PRD-10043,Wardrobe 787,Furniture,Storage,WoodCraft India,16927.15,21413.47
PRD-10044,XPhone 175,Electronics,Mobile Phones,ByteKart Technologies,59720.46,67656.26
PRD-10045,Jacket 391,Fashion,Men Clothing,UrbanStyle Wholesale,4458.62,6756.04
PRD-10046,Canvas Art 783,Home Decor,Wall Art,CraftEdge Home,2656.01,3983.05
PRD-10047,Wardrobe 860,Furniture,Storage,Elite Furnishings,38517.68,50545.04
PRD-10048,Pen Set 308,Office Supplies,Stationery,Corporate Essentials,7732.58,9656.13
PRD-10049,Laser Printer 194,Office Supplies,Printers,Stationery Hub,5275.06,6517.38
PRD-10050,Nova 752,Electronics,Mobile Phones,ElectroHub Supply,6906.43,7348.62
PRD-10051,Canvas Art 214,Home Decor,Wall Art,CraftEdge Home,919.15,2436.61
PRD-10052,Marker Kit 665,Office Supplies,Stationery,Stationery Hub,3212.12,4020.66
PRD-10053,Running Shoes 315,Fashion,Footwear,UrbanStyle Wholesale,4556.32,6548.58
PRD-10054,Gaming Mouse 342,Fashion,Accessories,TrendHive India,2169.84,3503.08
PRD-10055,Luxury Sofa 854,Furniture,Sofas,Elite Furnishings,12982.31,15778.65
PRD-10056,Detergent 373,Grocery,Household Essentials,PrimeGrocers Ltd,593.71,620.14
PRD-10057,Snacks Pack 304,Grocery,Packaged Food,DailyNeeds Supply,1860.8,2051.96
