Return_ID,Order_ID,Return_Reason,Refund_Amount,Return_Status
RET-10001,ORD-500002,Size Issue,52547.03,Approved
RET-10002,ORD-500005,Defective Product,120289.84,Approved
RET-10003,ORD-500011,Wrong Item,1350.59,Approved
RET-10004,ORD-500013,Defective Product,48600.22,Approved
RET-10005,ORD-500015,Damaged in Transit,7821.99,Approved
RET-10006,ORD-500017,Defective Product,13996.29,Approved
RET-10007,ORD-500024,Size Issue,96135.04,Approved
RET-10008,ORD-500026,Damaged in Transit,32252.22,Approved
RET-10009,ORD-500032,Size Issue,4888.05,Approved
RET-10010,ORD-500048,Wrong Item,0.0,Rejected
RET-10011,ORD-500054,Customer Dissatisfaction,1025.42,Approved
RET-10012,ORD-500058,Customer Dissatisfaction,2490.04,Pending
RET-10013,ORD-500070,Size Issue,5185.52,Approved
RET-10014,ORD-500073,Late Delivery,12692.51,Pending
RET-10015,ORD-500074,Late Delivery,0.0,Rejected
RET-10016,ORD-500092,Defective Product,17534.37,Approved
RET-10017,ORD-500101,Damaged in Transit,0.0,Rejected
RET-10018,ORD-500107,Damaged in Transit,0.0,Rejected
RET-10019,ORD-500114,Late Delivery,44582.67,Approved
RET-10020,ORD-500123,Damaged in Transit,29196.42,Approved
RET-10021,ORD-500134,Late Delivery,55156.8,Approved
RET-10022,ORD-500137,Defective Product,48789.83,Approved
RET-10023,ORD-500153,Damaged in Transit,17304.83,Approved
RET-10024,ORD-500155,Size Issue,26645.57,Pending
RET-10025,ORD-500156,Late Delivery,13570.44,Approved
RET-10026,ORD-500157,Late Delivery,133618.32,Approved
RET-10027,ORD-500170,Damaged in Transit,0.0,Rejected
RET-10028,ORD-500171,Size Issue,7556.94,Approved
RET-10029,ORD-500176,Size Issue,461.38,Approved
RET-10030,ORD-500194,Customer Dissatisfaction,8397.97,Pending
RET-10031,ORD-500198,Customer Dissatisfaction,7343.59,Approved
RET-10032,ORD-500204,Wrong Item,39759.11,Approved
RET-10033,ORD-500210,Size Issue,14711.59,Approved
RET-10034,ORD-500220,Late Delivery,18995.25,Approved
RET-10035,ORD-500256,Wrong Item,69781.04,Approved
RET-10036,ORD-500267,Defective Product,0.0,Rejected
RET-10037,ORD-500272,Wrong Item,0.0,Rejected
RET-10038,ORD-500291,Size Issue,2835.89,Approved
RET-10039,ORD-500292,Damaged in Transit,4810.43,Approved
RET-10040,ORD-500303,Size Issue,41489.97,Approved
RET-10041,ORD-500322,Damaged in Transit,70693.7,Approved
RET-10042,ORD-500331,Late Delivery,1021.58,Approved
RET-10043,ORD-500333,Defective Product,14256.36,Pending
RET-10044,ORD-500335,Customer Dissatisfaction,5034.14,Approved
RET-10045,ORD-500359,Late Delivery,12595.26,Approved
RET-10046,ORD-500362,Size Issue,17035.49,Approved
RET-10047,ORD-500374,Damaged in Transit,14601.49,Approved
RET-10048,ORD-500374,Size Issue,13555.37,Approved
RET-10049,ORD-500378,Wrong Item,61082.84,Approved
RET-10050,ORD-500383,Wrong Item,25014.1,Approved
RET-10051,ORD-500397,Customer Dissatisfaction,4663.62,Approved
RET-10052,ORD-500398,Defective Product,0.0,Rejected
RET-10053,ORD-500401,Defective Product,827.94,Pending
RET-10054,ORD-500409,Defective Product,12804.09,Approved
RET-10055,ORD-500429,Customer Dissatisfaction,16054.09,Approved
RET-10056,ORD-500430,Wrong Item,97222.59,Approved
RET-10057,ORD-500433,Customer Dissatisfaction,5315.05,Approved
RET-10058,ORD-500440,Wrong Item,11732.84,Pending
RET-10059,ORD-500452,Defective Product,7986.5,Pending
RET-10060,ORD-500453,Wrong Item,29561.02,Pending
RET-10061,ORD-500467,Size Issue,73373.19,Approved
RET-10062,ORD-500473,Defective Product,15610.35,Approved
RET-10063,ORD-500489,Customer Dissatisfaction,3737.04,Approved
RET-10064,ORD-500495,Wrong Item,8899.06,Approved
RET-10065,ORD-500526,Damaged in Transit,4286.6,Approved
RET-10066,ORD-500532,Late Delivery,13080.41,Pending
RET-10067,ORD-500534,Damaged in Transit,134884.71,Approved
RET-10068,ORD-500535,Size Issue,53174.0,Approved
RET-10069,ORD-500543,Defective Product,12816.75,Approved
RET-10070,ORD-500548,Wrong Item,100612.57,Approved
RET-10071,ORD-500565,Damaged in Transit,13525.36,Pending
RET-10072,ORD-500586,Late Delivery,0.0,Rejected
RET-10073,ORD-500597,Customer Dissatisfaction,69605.58,Approved
RET-10074,ORD-500600,Customer Dissatisfaction,7039.11,Approved
RET-10075,ORD-500604,Damaged in Transit,71568.13,Pending
RET-10076,ORD-500607,Wrong Item,7309.04,Pending
RET-10077,ORD-500612,Late Delivery,50532.81,Approved
RET-10078,ORD-500626,Defective Product,67791.1,Pending
RET-10079,ORD-500627,Late Delivery,24280.78,Approved
RET-10080,ORD-500631,Damaged in Transit,22916.49,Approved
RET-10081,ORD-500647,Wrong Item,154072.95,Approved
RET-10082,ORD-500648,Wrong Item,0.0,Rejected
RET-10083,ORD-500661,Defective Product,6320.63,Approved
RET-10084,ORD-500662,Size Issue,59101.8,Approved
RET-10085,ORD-500669,Customer Dissatisfaction,67308.66,Approved
RET-10086,ORD-500675,Defective Product,18476.34,Approved
RET-10087,ORD-500701,Defective Product,47104.4,Approved
RET-10088,ORD-500706,Size Issue,3344.55,Pending
RET-10089,ORD-500708,Size Issue,234863.77,Approved
RET-10090,ORD-500711,Late Delivery,2622.62,Approved
RET-10091,ORD-500717,Customer Dissatisfaction,0.0,Rejected
RET-10092,ORD-500721,Wrong Item,29622.45,Approved
RET-10093,ORD-500722,Customer Dissatisfaction,105082.46,Approved
RET-10094,ORD-500724,Late Delivery,2047.63,Approved
RET-10095,ORD-500725,Defective Product,7751.66,Approved
RET-10096,ORD-500734,Damaged in Transit,501.66,Pending
RET-10097,ORD-500738,Defective Product,4421.58,Approved
RET-10098,ORD-500742,Customer Dissatisfaction,49573.29,Approved
RET-10099,ORD-500747,Defective Product,1220.39,Pending
RET-10100,ORD-500752,Damaged in Transit,170440.37,Approved
RET-10101,ORD-500765,Wrong Item,139245.67,Approved
RET-10102,ORD-500784,Damaged in Transit,68854.14,Approved
RET-10103,ORD-500799,Defective Product,0.0,Rejected
RET-10104,ORD-500800,Customer Dissatisfaction,17604.58,Approved
RET-10105,ORD-500813,Customer Dissatisfaction,7753.25,Pending
RET-10106,ORD-500814,Defective Product,42825.74,Approved
RET-10107,ORD-500836,Defective Product,9971.8,Approved
RET-10108,ORD-500843,Wrong Item,0.0,Rejected
RET-10109,ORD-500867,Size Issue,48179.21,Approved
RET-10110,ORD-500871,Wrong Item,22442.33,Approved
RET-10111,ORD-500876,Defective Product,10248.24,Approved
RET-10112,ORD-500879,Customer Dissatisfaction,5137.57,Approved
RET-10113,ORD-500884,Defective Product,14652.77,Approved
RET-10114,ORD-500889,Wrong Item,2158.57,Approved
RET-10115,ORD-500892,,326454.85,Approved
RET-10116,ORD-500903,Damaged in Transit,7872.86,Approved
RET-10117,ORD-500911,Size Issue,64506.38,Approved
RET-10118,ORD-500919,Wrong Item,1535.86,Pending
RET-10119,ORD-500923,Customer Dissatisfaction,8058.24,Approved
RET-10120,ORD-500924,Defective Product,0.0,Rejected
RET-10121,ORD-500928,Customer Dissatisfaction,3447.61,Approved
RET-10122,ORD-500930,Late Delivery,14159.97,Pending
